#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_001012044,Lcp1,0.0047952609999999994,3.5399705000000004
NM_001012742,Wee1,1.17e-05,2.4875011000000002
NM_001134970,Sbf2,0.000184225,2.6076740000000003
ENSRNOT00000021014,RGD1560857,4.51e-07,2.0325912
ENSRNOT00000047825,AABR06045135.1,1.3699999999999998e-05,7.1971841
ENSRNOT00000059403,Btn2a2,4.44e-05,2.5143446
ENSRNOT00000072286,LOC680097,0.000315381,3.3664735
NM_001013056,Hist1h2ail1,0.000197712,2.2697230999999998
NM_001170337,Btn1a1,0.008096615,2.1744985
NM_022647,Hist1h2bl,0.00010588,3.732817
ENSRNOT00000072019,LOC682330,0.00039695800000000004,2.2970982999999996
ENSRNOT00000075069,LOC684828,0.0018319060000000001,2.2778799
NM_001024282,Hist1h2af,1.55e-05,6.3371075
NM_001106113,Hist1h1a,9.549999999999999e-05,5.7995684
NM_001107354,Hist1h2an,0.000620136,2.3835451
NM_001315492,Hist1h2ah,3.71e-05,7.220797599999999
NM_053301,Hfe,1.6899999999999997e-05,3.0505158
NM_133285,Hist1h1d,5.36e-05,10.423399900000001
NM_177930,Vac14,5.7499999999999995e-05,2.0376352
NM_001000017,Olr1440,3.52e-05,2.7665132000000003
ENSRNOT00000064773,Pcdh10,0.000307858,5.8816543
NM_001105811,Rilp,9.31e-05,3.1339107000000004
NM_001191590,Prpf8,7.42e-05,2.7094883
NM_001106171,Tox3,0.0011632860000000001,2.8980240000000004
NM_001106067,Colgalt1,0.00048871,2.1249269
NM_012855,Jak3,3.64e-06,2.4075729999999997
NM_001011919,Gtpbp3,3.72e-06,2.4445739
NM_001108559,Prpf3,1.37e-06,2.4937442
NM_001134593,Ciart,2.51e-06,2.9643157
ENSRNOT00000074839,LOC100912283,4.74e-07,6.1781708
NM_001079888,Mmp28,0.015558064,2.2730597
NM_001107031,Slfn2,0.028525127,2.2015717999999995
ENSRNOT00000020866,Rimklb,2.72e-05,2.6101016
NM_012907,Apobec1,0.009917951,3.3592328
NM_001109352,Foxj2,1.02e-06,5.6460847
NM_001037285,Hnrnpf,0.04474197,2.1323058999999995
NM_001134908,Zfp637,6.69e-05,2.074936
NM_022388,Fxyd4,8.08e-05,502.8357102
ENSRNOT00000042277,Rasgef1a,1.28e-05,3.3084997000000005
ENSRNOT00000075379,AABR06045579.1,0.002660853,3.0105803
NM_001107848,Ophn1,1.64e-06,3.3143602
NM_023957,Arhgef9,8.420000000000001e-05,2.1249827999999997
ENSRNOT00000047825,AABR06045135.1,1.3699999999999998e-05,7.1971841
ENSRNOT00000021014,RGD1560857,4.51e-07,2.0325912
ENSRNOT00000073612,LOC680653,0.00012298700000000002,2.4136176
NM_001009969,Spetex-2H,0.00112009,2.9337357
NM_001009971,Spetex-2G,0.001352783,2.2273153
ENSRNOT00000061040,LOC100359853,0.001629847,2.5256911
ENSRNOT00000072836,LOC100363894,4.7600000000000005e-05,2.0591163
NM_001037660,Csf2ra,0.002793407,2.421656
NM_001139492,Ppp2r3b,3.49e-06,2.4985015
NM_152938,Slc4a9,0.02361083,3.9295486000000004
NM_001017932,Wdr55,0.00010494399999999999,3.4624492999999994
NM_001017493,LOC498265,0.00010292299999999999,2.9534974
NM_001108172,Ttk,5.41e-07,14.175028400000002
NM_001191796,Elovl4,0.000247366,2.9772969
NM_001000662,Olr582,2.62e-05,2.2113841
NM_001000656,Olr604,0.0009399739999999999,2.3120591
NM_017356,Hpcal1,0.00210141,2.2531812
NM_031719,Clns1a,0.00011483,2.0669953000000003
ENSRNOT00000041480,AABR06019053.1,7.98e-06,2.7602036
ENSRNOT00000012464,Lce1d,2.16e-06,3.9186709000000004
ENSRNOT00000065242,LOC679475,2.59e-06,11.1679385
ENSRNOT00000075788,AABR06019044.1,9.590000000000001e-05,2.5612232
NM_001109188,Lce1f,2.17e-05,9.3218841
