#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_001001119,Olr1734,6e-07,2.2007785
NM_053299,Ubd,0.00209358,3.8883841
ENSRNOT00000022389,Idi1,1.34e-07,2.8397688
ENSRNOT00000043269,AABR06058265.1,2.26e-05,3.7418523
ENSRNOT00000071982,LOC100360856,0.000167145,2.9346381
ENSRNOT00000073775,LOC100360856,0.000157085,2.9921535
NM_001163153,Cox16,1.8999999999999998e-08,35.7267283
NM_078620,Slc8a3,6.620000000000001e-07,5.8260495
ENSRNOT00000060002,Pram1,4.7499999999999996e-05,2.5415967999999998
NM_001108076,Myo1f,1.98e-05,2.8107764
NM_001277885,Tmem247,0.000117363,3.0850720000000003
NM_023090,Epas1,5.32e-07,3.2646361
NM_001000519,Olr1307,1.16e-06,5.801824
ENSRNOT00000064292,Zswim6,9.379999999999999e-05,3.2305597
NM_001107940,Megf9,1.28e-08,2.861358
NM_001109083,Nsl1,0.013449863000000001,2.0355438
NM_139329,Hsd3b7,3.32e-06,2.6784369999999997
ENSRNOT00000023109,Zfp185,7.05e-08,6.1319607000000005
ENSRNOT00000072259,Zfp185,1.29e-05,7.411637799999999
NM_001009399,Nsdhl,1.52e-05,2.2135203
NM_001107267,Lats2,3.3e-05,3.0579711
NM_001191722,Fndc3c1,0.000104741,2.7427457000000004
ENSRNOT00000040776,AABR06045600.2,0.002324329,2.0236483
ENSRNOT00000072780,AABR06004569.1,2.92e-06,2.5783352
ENSRNOT00000076919,Slfn3,0.000300445,2.6692632
NM_001107031,Slfn2,2.18e-06,3.4805693
ENSRNOT00000017378,Krtap9-1,5.48e-07,2.1062342
ENSRNOT00000046526,Krtap9-1,6.33e-06,2.2549742999999998
ENSRNOT00000073764,LOC680442,1.7300000000000002e-09,2.0609821
NM_001004021,Krt13,2.05e-05,3.3522928999999997
NM_001004022,Krt15,0.045646690999999996,2.1723567000000004
NM_001008751,Krt14,4.54e-06,2.3010903
NM_199498,Krt19,2.8100000000000002e-05,4.2852684000000005
NM_001034157,Gpank1,0.001208927,2.0264477
NM_017196,Aif1,1.09e-05,3.6021044
NM_022634,Lst1,9.92e-05,3.4788410000000005
NM_181822,Ncr3,0.000206365,2.2768745
NM_001001970,Ly6g6d,0.031665775,3.9358986000000002
NM_001004069,Sapcd1,0.015963236000000002,2.5141798
NM_001008837,RT1-CE14,0.004077621,2.0358443999999998
NM_001008841,RT1-CE3,0.000144727,2.6486839
NM_001008843,RT1-CE5,0.008535068,2.0939313000000004
NM_212499,Vwa7,1.1299999999999999e-08,80.7631379
NM_212504,Hspa1b,8.06e-05,8.184908
NM_172055,Cited1,5.08e-06,2.1079128
NM_053479,Pola1,0.000867982,2.3975302000000003
NM_001107189,Tnn,5.07e-05,2.5390567
NM_001107190,Rabgap1l,8.81e-06,2.475595
NM_001108759,Siae,0.000398488,3.2224661
NM_053482,Spa17,2.41e-08,3.4899786
NM_001107176,Optc,8.34e-06,3.8833292999999998
NM_053409,Maged1,6.08e-08,2.2644226
NM_001025002,LOC310926,0.044715711,3.6875142
ENSRNOT00000059627,Ptpn3,5.7999999999999994e-05,2.0821306
NM_022254,Gpr85,6.36e-06,3.2887824
NM_144750,Aspg,1.51e-06,3.5286211000000005
NM_031689,Cryba4,0.00042257199999999997,3.8900851000000003
ENSRNOT00000072094,AABR06107429.1,0.001031968,3.7710131000000002
